id,id_site,structure,country,adm1,adm2,millennium,struc_type,x_coord,y_coord
CL08010,145,El Juncal I,Spain,Zamora,Castronuevo de los Arcos,4th,Mound,-5.5324493,41.7155046
CNS328,375,Zambujal,Portugal,Lisboa,Torres Vedras - Santa Maria-São Miguel e Matacães,3rd,Domestic,-9.286828,39.075949
FRA0010,55,Billy,France,Allier,Billy,Undefined,,1.535153808,47.32498605
FRA0001,7,Ambérieu-en-Bugey,France,Ain,Ambérieu-en-Bugey,Undefined,,5.383206851,45.95911178
CAT04006,103,Cova del Garrofet,Spain,Tarragona,Aiguamúrcia,Undefined,,1.44785,41.375975
FRA0018,107,Crozon,France,Finisterre,Crozon,Undefined,,-4.538684017,48.20335071
AND07005,370,Corominas 1,Spain,Málaga,Estepona,3rd,Dolmen,-5.208209,36.447382
CNS4704,373,Gruta do Furadouro da Rocha Forte - Lapa da Amoreira,Portugal,Leiria,Óbidos - Olho Marinho,Undefined,Natural cave,-9.229811668,39.34514999
CL07002,146,El Miradero,Spain,Valladolid,Villanueva de los Caballeros,3rd,Tumba calero,-5.220979,41.763163
CL05002,147,El Ollar,Spain,Segovia,Donhierro,3rd,Pit,-4.695524,41.118643
AND04013,225,La Sabina 49 - Hoya de los Castellones 38,Spain,Granada,Gorafe,Undefined,Dolmen,-3.049128,37.471161
CL02004,166,Fuentepecina II,Spain,Burgos,Valle de Sedano,5th,Dolmen,-3.717583,42.671211
ENG0014,36,Barrow G 39,England,Wiltshire,Amesbury,3rd-2nd,Barrow,-1.779444158,51.176599
CNS3024,369,Alto da Feteira,Portugal,Leiria,Pombal - Arroteia,3rd,Dolmen,-7.533183,39.413967
EXT01021,371,La Pijotilla T3,Spain,Badajoz,Solana de los Barros,3rd,Tholos,-6.544763587,38.73242464
FRA0034,174,Grotte au Collier,France,Aude,Lastours,Undefined,Natural cave,2.377556038,43.33293906
FRA0035,175,Grotte Basse de la Vigne Perdue,France,Aude,Narbonne,Undefined,Natural cave,3.086143908,43.16273703
SER0001,134,Donja Bitinja,Serbia,Kosovo,Lebane,Undefined,,21.04230282,42.25338577
CL04011,224,La Pinilla,Spain,Salamanca,Carbajosa de la Sagrada,Undefined,,-5.6394849,40.9205055
CL02008,150,El Soto,Spain,Burgos,Salas de los Infantes,4th-3rd,,-3.304754,42.01259
ENG0045,160,Feltwell Fen,England,Norfolk,Feltwell,2nd-1st,,0.42790387,52.473993
ITA0008,161,Fiavè,Italy,Trentino,Fiavé ,Undefined,,10.83357294,45.99091256
CAT03022,162,Forat de Conqueta,Spain,Lleida,Les Avellanes i Santa Linya,Undefined,,0.801913988,41.92945415
FRA0032,163,Forêt des Moidons,France,Jura,Chilly-sur-Salins,Undefined,,5.860568408,46.85254277
CAT03012,164,Fossa del Gegant,Spain,Lleida,Naves,Undefined,,1.647222,41.955278
ITA0009,165,Frattesina,Italy,Rovigo,Fratta Polesine,Undefined,,11.64049881,45.02834095
CL02013,166,Fuentepecina IV,Spain,Burgos,Valle de Sedano,4th-3rd,,-3.713461,42.6786379
HUN0007,167,Füzesabony,Hungary,Heves ,Füzesabony,3rd-1st,,20.35537895,47.74250467
ENG0046,168,Glastonbury Lake Village,England,Somerset,Glastonbury,1st,,-2.726486165,51.16379339
CL02005,216,La Brújula,Spain,Burgos,Fresno de Rodilla,4th-2nd,Mound,-3.489555,42.43267
CL02006,217,La Cabaña,Spain,Burgos,Sargentes de la Lora,4th-3rd,Passage grave,-3.896794,42.772088
CL08003,219,La Casa de los Moros,Spain,Zamora,Arrabalde,4th,Passage grave,-5.901442,42.112582
CL04003,221,La Ermita - Dolmen de Galisancho,Spain,Salamanca,Galisancho,4th-3rd,Passage grave,-5.558824,40.732335
CL06004,222,La Mina de Alcubilla,Spain,Soria,Alcubilla de las Peñas,4th,Megalith,-2.5397953,41.2540163
CNS13117,189,Gruta do Correio-Mor,Portugal,Lisboa,Loures-Loures,3rd,Natural cave,-9.187157,38.826742
GRE0013,201,Kalkani,Greece,Argolis ,Mykines,3rd-1st,Necropolis,22.75379855,37.72761873
ENG0051,202,Kellythorpe,England,Yorkshire - East Riding,Kirkburn,3rd-2nd,Barrow,-0.456523105,53.99371909
FRA0053,205,Kerstrobel,France,Finistere,Crozon,Undefined,Barrow,-4.487402778,48.25028333
ENG0053,206,Kilham long barrow,England,Yorkshire - East Riding,Kilham,Undefined,Barrow,-0.388277014,54.06799757
GAL04001,86,Chousa Nova,Spain,Pontevedra,Silleda (Campomarzo),Undefined,Mound,-8.292662,42.756845
ENG0050,194,Hengistbury Head,England,Dorset,Bournemouth,3rd-1st,Barrow,-1.765985242,50.71908333
CL06002,226,La Sima II,Spain,Soria,Miño de Medinaceli,4th,Tholos,-2.54043,41.176966
CL03001,229,La Velilla,Spain,Palencia,Osorno la Mayor,5th-3rd,Chamber,-4.391275,42.41632
CLM05001,230,La Veredilla,Spain,Toledo,Illescas,3rd,Pit,-3.857134,40.135807
PV03003,233,Larrarte,Spain,Guipúzcoa - Gipuzkoa,Beasain,Undefined,Dolmen,-2.202449,43.091804
